48
0 0 354850392734.342285
0 1 354850392734.342285
0 2 354850392734.342285
5 5 28111718338.159710
7 7 232506278629.920776
7 8 232506278629.920776
7 9 232506278629.920776
7 10 232506278629.920776
7 11 232506278629.920776
7 12 232506278629.920776
7 13 232506278629.920776
0 14 354850392734.342285
0 16 354850392734.342285
20 20 123813211925.902802
20 21 123813211925.902802
20 23 123813211925.902802
20 24 123813211925.902802
20 25 123813211925.902802
5 30 28111718338.159710
7 32 232506278629.920776
7 33 232506278629.920776
0 37 354850392734.342285
0 40 354850392734.342285
55 55 55856882952.659119
55 56 55856882952.659119
59 59 5086158923.132944
5 60 28111718338.159710
63 63 52278897700.384888
63 64 52278897700.384888
63 65 52278897700.384888
7 70 232506278629.920776
7 71 232506278629.920776
79 79 19128367443.908710
0 97 354850392734.342285
0 98 354850392734.342285
0 99 354850392734.342285
0 100 354850392734.342285
0 101 354850392734.342285
59 112 5086158923.132944
59 113 5086158923.132944
63 126 52278897700.384888
0 141 354850392734.342285
0 142 354850392734.342285
63 154 52278897700.384888
63 156 52278897700.384888
63 157 52278897700.384888
0 183 354850392734.342285
0 185 354850392734.342285
