48
0 0 354720602495.865234
0 1 354720602495.865234
0 2 354720602495.865234
0 5 9156178138.033422
0 7 181204043893.209747
0 8 181204043893.209747
0 9 181204043893.209747
0 10 181204043893.209747
0 11 181204043893.209747
0 12 181204043893.209747
0 13 181204043893.209747
0 14 354720602495.865234
0 16 354720602495.865234
0 20 115497197561.931305
0 21 115497197561.931305
0 23 115497197561.931305
0 24 115497197561.931305
0 25 115497197561.931305
0 30 9156178138.033422
0 32 181204043893.209747
0 33 181204043893.209747
0 37 354720602495.865234
0 40 354720602495.865234
0 55 12057531918.535910
0 56 12057531918.535910
0 59 2914215994.381679
0 60 9156178138.033422
0 63 47139087316.477585
0 64 47139087316.477585
0 65 47139087316.477585
0 70 181204043893.209747
0 71 181204043893.209747
0 79 148943051329.976196
0 97 354720602495.865234
0 98 354720602495.865234
0 99 354720602495.865234
0 100 354720602495.865234
0 101 354720602495.865234
0 112 2914215994.381679
0 113 2914215994.381679
0 126 47139087316.477585
0 141 354720602495.865234
0 142 354720602495.865234
0 154 47139087316.477585
0 156 47139087316.477585
0 157 47139087316.477585
0 183 354720602495.865234
0 185 354720602495.865234
